d,z,a,poisson,sigma,E
0.5,850,130,0.35,0.56,34.1998
0.5,850,130,0.35,0.64,39.0855
0.5,850,130,0.35,0.72,43.9712
0.5,850,130,0.35,0.8,48.8569
0.5,850,130,0.4,0.56,33.9167
0.5,850,130,0.4,0.64,38.762
0.5,850,130,0.4,0.72,43.6072
0.5,850,130,0.4,0.8,48.4525
0.5,850,130,0.45,0.56,33.5229
0.5,850,130,0.45,0.64,38.3119
0.5,850,130,0.45,0.72,43.1009
0.5,850,130,0.45,0.8,47.8899
0.5,850,130,0.5,0.56,33.0184
0.5,850,130,0.5,0.64,37.7353
0.5,850,130,0.5,0.72,42.4523
0.5,850,130,0.5,0.8,47.1692
0.5,850,143.33,0.35,0.56,41.4776
0.5,850,143.33,0.35,0.64,47.403
0.5,850,143.33,0.35,0.72,53.3283
0.5,850,143.33,0.35,0.8,59.2537
0.5,850,143.33,0.4,0.56,41.1323
0.5,850,143.33,0.4,0.64,47.0083
0.5,850,143.33,0.4,0.72,52.8843
0.5,850,143.33,0.4,0.8,58.7604
0.5,850,143.33,0.45,0.56,40.6525
0.5,850,143.33,0.45,0.64,46.46
0.5,850,143.33,0.45,0.72,52.2675
0.5,850,143.33,0.45,0.8,58.075
0.5,850,143.33,0.5,0.56,40.0384
0.5,850,143.33,0.5,0.64,45.7581
0.5,850,143.33,0.5,0.72,51.4779
0.5,850,143.33,0.5,0.8,57.1977
0.5,850,156.66,0.35,0.56,49.4272
0.5,850,156.66,0.35,0.64,56.4882
0.5,850,156.66,0.35,0.72,63.5493
0.5,850,156.66,0.35,0.8,70.6103
0.5,850,156.66,0.4,0.56,49.0131
0.5,850,156.66,0.4,0.64,56.0149
0.5,850,156.66,0.4,0.72,63.0168
0.5,850,156.66,0.4,0.8,70.0187
0.5,850,156.66,0.45,0.56,48.4386
0.5,850,156.66,0.45,0.64,55.3584
0.5,850,156.66,0.45,0.72,62.2782
0.5,850,156.66,0.45,0.8,69.198
0.5,850,156.66,0.5,0.56,47.7038
0.5,850,156.66,0.5,0.64,54.5186
0.5,850,156.66,0.5,0.72,61.3334
0.5,850,156.66,0.5,0.8,68.1483
0.5,850,169.99,0.35,0.56,58.0386
0.5,850,169.99,0.35,0.64,66.3298
0.5,850,169.99,0.35,0.72,74.621
0.5,850,169.99,0.35,0.8,82.9123
0.5,850,169.99,0.4,0.56,57.549
0.5,850,169.99,0.4,0.64,65.7703
0.5,850,169.99,0.4,0.72,73.9916
0.5,850,169.99,0.4,0.8,82.2129
0.5,850,169.99,0.45,0.56,56.8709
0.5,850,169.99,0.45,0.64,64.9953
0.5,850,169.99,0.45,0.72,73.1197
0.5,850,169.99,0.45,0.8,81.2442
0.5,850,169.99,0.5,0.56,56.0043
0.5,850,169.99,0.5,0.64,64.0049
0.5,850,169.99,0.5,0.72,72.0055
0.5,850,169.99,0.5,0.8,80.0062
0.5,895.33,130,0.35,0.56,32.5026
0.5,895.33,130,0.35,0.64,37.1458
0.5,895.33,130,0.35,0.72,41.7891
0.5,895.33,130,0.35,0.8,46.4323
0.5,895.33,130,0.4,0.56,32.2343
0.5,895.33,130,0.4,0.64,36.8392
0.5,895.33,130,0.4,0.72,41.4441
0.5,895.33,130,0.4,0.8,46.049
0.5,895.33,130,0.45,0.56,31.8608
0.5,895.33,130,0.45,0.64,36.4123
0.5,895.33,130,0.45,0.72,40.9639
0.5,895.33,130,0.45,0.8,45.5154
0.5,895.33,130,0.5,0.56,31.3821
0.5,895.33,130,0.5,0.64,35.8653
0.5,895.33,130,0.5,0.72,40.3485
0.5,895.33,130,0.5,0.8,44.8316
0.5,895.33,143.33,0.35,0.56,39.4279
0.5,895.33,143.33,0.35,0.64,45.0605
0.5,895.33,143.33,0.35,0.72,50.6931
0.5,895.33,143.33,0.35,0.8,56.3256
0.5,895.33,143.33,0.4,0.56,39.1007
