d,z,a,poisson,sigma,E
0.5000,850.0000,150.8242,0.3500,0.5600,45.8649
0.5000,850.0000,141.0832,0.3500,0.6400,45.9469
0.5000,850.0000,133.0145,0.3500,0.7200,46.0110
0.5000,850.0000,126.1886,0.3500,0.8000,46.0625
0.5000,850.0000,150.8242,0.4000,0.5600,45.4817
0.5000,850.0000,141.0832,0.4000,0.6400,45.5647
0.5000,850.0000,133.0145,0.4000,0.7200,45.6297
0.5000,850.0000,126.1886,0.4000,0.8000,45.6818
0.5000,850.0000,150.8242,0.4500,0.5600,44.9498
0.5000,850.0000,141.0832,0.4500,0.6400,45.0337
0.5000,850.0000,133.0145,0.4500,0.7200,45.0993
0.5000,850.0000,126.1886,0.4500,0.8000,45.1521
0.5000,850.0000,150.8242,0.5000,0.5600,44.2692
0.5000,850.0000,141.0832,0.5000,0.6400,44.3538
0.5000,850.0000,133.0145,0.5000,0.7200,44.4201
0.5000,850.0000,126.1886,0.5000,0.8000,44.4732
0.5000,850.0000,150.8242,0.3500,0.5600,45.8649
0.5000,850.0000,141.0832,0.3500,0.6400,45.9469
0.5000,850.0000,133.0145,0.3500,0.7200,46.0110
0.5000,850.0000,126.1886,0.3500,0.8000,46.0625
0.5000,850.0000,150.8242,0.4000,0.5600,45.4817
0.5000,850.0000,141.0832,0.4000,0.6400,45.5647
0.5000,850.0000,133.0145,0.4000,0.7200,45.6297
0.5000,850.0000,126.1886,0.4000,0.8000,45.6818
0.5000,850.0000,150.8242,0.4500,0.5600,44.9498
0.5000,850.0000,141.0832,0.4500,0.6400,45.0337
0.5000,850.0000,133.0145,0.4500,0.7200,45.0993
0.5000,850.0000,126.1886,0.4500,0.8000,45.1521
0.5000,850.0000,150.8242,0.5000,0.5600,44.2692
0.5000,850.0000,141.0832,0.5000,0.6400,44.3538
0.5000,850.0000,133.0145,0.5000,0.7200,44.4201
0.5000,850.0000,126.1886,0.5000,0.8000,44.4732
0.5000,850.0000,150.8242,0.3500,0.5600,45.8649
0.5000,850.0000,141.0832,0.3500,0.6400,45.9469
0.5000,850.0000,133.0145,0.3500,0.7200,46.0110
0.5000,850.0000,126.1886,0.3500,0.8000,46.0625
0.5000,850.0000,150.8242,0.4000,0.5600,45.4817
0.5000,850.0000,141.0832,0.4000,0.6400,45.5647
0.5000,850.0000,133.0145,0.4000,0.7200,45.6297
0.5000,850.0000,126.1886,0.4000,0.8000,45.6818
0.5000,850.0000,150.8242,0.4500,0.5600,44.9498
0.5000,850.0000,141.0832,0.4500,0.6400,45.0337
0.5000,850.0000,133.0145,0.4500,0.7200,45.0993
0.5000,850.0000,126.1886,0.4500,0.8000,45.1521
0.5000,850.0000,150.8242,0.5000,0.5600,44.2692
0.5000,850.0000,141.0832,0.5000,0.6400,44.3538
0.5000,850.0000,133.0145,0.5000,0.7200,44.4201
0.5000,850.0000,126.1886,0.5000,0.8000,44.4732
0.5000,850.0000,150.8242,0.3500,0.5600,45.8649
0.5000,850.0000,141.0832,0.3500,0.6400,45.9469
0.5000,850.0000,133.0145,0.3500,0.7200,46.0110
0.5000,850.0000,126.1886,0.3500,0.8000,46.0625
