q,a,E1,E2,f,N,h1
0.48,162.9088031,1500,23,0.8,1000000,343.8496883
0.48,162.9088031,1500,23,0.8,17333333,696.2850597
0.48,162.9088031,1500,23,0.8,33666666,819.3608481
0.48,162.9088031,1500,23,0.8,50000000,902.6808606
0.48,162.9088031,1500,23,0.87,1000000,316.1836215
0.48,162.9088031,1500,23,0.87,17333333,640.2621238
0.48,162.9088031,1500,23,0.87,33666666,753.4352627
0.48,162.9088031,1500,23,0.87,50000000,830.051366
0.48,162.9088031,1500,23,0.93,1000000,295.7846781
0.48,162.9088031,1500,23,0.93,17333333,598.95489
0.48,162.9088031,1500,23,0.93,33666666,704.826536
0.48,162.9088031,1500,23,0.93,50000000,776.499665
0.48,162.9088031,1500,23,1,1000000,275.0797507
0.48,162.9088031,1500,23,1,17333333,557.0280477
0.48,162.9088031,1500,23,1,33666666,655.4886785
0.48,162.9088031,1500,23,1,50000000,722.1446885
0.48,162.9088031,1500,80,0.8,1000000,124.5109483
0.48,162.9088031,1500,145,0.8,17333333,175.3809952
0.48,162.9088031,1500,145,0.8,33666666,216.4414304
0.48,162.9088031,1500,145,0.8,50000000,243.3042485
0.48,162.9088031,1500,90,0.87,1000000,98.44102293
0.48,162.9088031,1500,145,0.87,17333333,161.2698806
0.48,162.9088031,1500,145,0.87,33666666,199.0266026
0.48,162.9088031,1500,145,0.87,50000000,223.7280446
0.48,162.9088031,1500,90,0.93,1000000,92.0899892
0.48,162.9088031,1500,145,0.93,17333333,150.8653722
0.48,162.9088031,1500,145,0.93,33666666,186.1861767
0.48,162.9088031,1500,145,0.93,50000000,209.2939772
0.48,162.9088031,1500,90,1,1000000,85.64368995
0.48,162.9088031,1500,145,1,17333333,140.3047961
0.48,162.9088031,1500,145,1,33666666,173.1531443
0.48,162.9088031,1500,145,1,50000000,194.6433988
0.48,162.9088031,1500,120,0.8,1000000,53.21480363
0.48,162.9088031,1500,120,0.8,17333333,210.1836554
0.48,162.9088031,1500,267,0.8,33666666,89.42916825
0.48,162.9088031,1500,267,0.8,50000000,117.5956037
0.48,162.9088031,1500,120,0.87,1000000,48.93315276
0.48,162.9088031,1500,120,0.87,17333333,193.2723268
0.48,162.9088031,1500,267,0.87,33666666,82.23371793
0.48,162.9088031,1500,267,0.87,50000000,108.1338885
